id,correctAnswer
200023,D
200025,B
200032,A
200036,A
200050,C
200051,D
200053,B
200062,C
200071,D
200084,A
200113,B
200120,A
200123,D
200130,C
200134,C
200156,A
200160,A
200170,C
200176,A
200191,D
200196,A
200204,A
200208,A
200213,B
200221,B
200230,C
200235,D
200243,D
200248,A
200253,B
200262,C
200264,A
200267,D
200270,C
200274,C
200281,B
200285,B
200310,C
200314,C
200317,B
200335,D
200339,D
200345,B
200347,D
200352,A
200363,D
200364,A
200389,B
200391,D
200404,A
200405,B
4389,B
202768,A
202772,A
202777,B
202779,D
202793,B
202802,C
202804,A
202818,C
202832,A
202845,B
202849,B
202858,C
202877,B
202881,B
105535,D
105541,B
105551,D
105556,A
105560,A
105576,A
105583,D
105591,D
105604,A
105618,C
105619,D
105623,D
105630,C
105649,B
105665,B
105673,B
105685,B
105701,B
105704,A
105706,C
7411,D
105726,C
7426,C
105739,D
105743,D
105750,C
7457,B
7458,C
105778,C
105783,D
105787,D
105803,D
105809,B
105812,A
105819,D
105821,B
7524,A
105845,B
105846,C
105849,B
105856,A
7559,D
7561,B
105872,A
105879,D
105883,D
105890,C
105892,A
105893,B
105894,C
105898,C
105917,B
105920,A
105923,D
105926,C
105934,C
105937,B
105950,C
105958,C
105965,B
105968,A
105972,A
105994,C
106001,B
106007,D
106010,C
106013,B
106022,C
106025,B
106033,B
106040,A
106043,D
106044,A
106060,A
106068,A
8001,B
8003,D
8004,A
8021,B
8022,C
8023,D
8024,A
8032,A
8033,B
8034,C
8036,A
8050,C
8053,B
8054,C
8068,A
8069,B
8070,C
8071,D
8072,A
8101,B
8102,C
8104,A
8105,B
8106,C
8107,D
8120,A
8121,B
8130,C
8132,A
8133,B
8134,C
8135,D
8150,C
8282,C
8283,D
8284,A
8287,D
8288,A
8290,C
8291,D
8292,A
8293,B
8294,C
8295,D
8296,A
8297,B
8299,D
8301,B
8302,C
8355,D
8356,A
8358,C
8359,D
8360,A
8361,B
8362,C
8363,D
8364,A
8365,B
8368,A
8371,D
8418,C
8419,D
8420,A
8421,B
8422,C
8423,D
8424,A
8425,B
8426,C
8427,D
8428,A
8429,B
8430,C
8435,D
8436,A
8437,B
8438,C
8439,D
8487,D
8488,A
8489,B
8490,C
8491,D
8492,A
8493,B
8494,C
8496,A
8497,B
8498,C
8499,D
8501,B
8502,C
8503,D
8504,A
8505,B
8507,D
8509,B
8510,C
8554,C
8555,D
8556,A
8557,B
8558,C
8559,D
8560,A
8562,C
8564,A
8565,B
8566,C
8567,D
8568,A
8569,B
8570,C
8571,D
8572,A
8573,B
8664,A
8665,B
8666,C
8667,D
8668,A
8670,C
8672,A
8673,B
8675,D
8677,B
8680,A
8682,C
8684,A
8704,A
8706,C
8707,D
8708,A
8709,B
8711,D
8712,A
8714,C
8715,D
8717,B
8718,C
8719,D
8721,B
8722,C
8723,D
8726,C
8763,D
8765,B
8766,C
8767,D
8768,A
8769,B
8770,C
8771,D
8772,A
8773,B
8774,C
8775,D
8776,A
8777,B
8778,C
8779,D
8780,A
205390,C
205426,C
205427,D
205430,C
205445,B
8845,B
8847,D
8848,A
8849,B
8850,C
8852,A
8853,B
8854,C
8855,D
8856,A
8857,B
