id,question,correctAnswer,answerA,answerB,answerC,answerD
196635,This phenomenon occurs twice as quickly in the Moran model as in the Wright-Fisher model.,A,Genetic drift,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics)
207540,"Coenocytic members of this kingdom lack septa, and another group in this kingdom, the ascomycetes, reproduces asexually using conidia.",A,Fungus,Group (mathematics),Georg Wilhelm Friedrich Hegel,Hamiltonian (quantum mechanics)
99,This painting was drawn from a cartoon by Michelangelo showing two of the title characters kissing.,B,Hamiltonian (quantum mechanics),Venus,Georg Wilhelm Friedrich Hegel,Group (mathematics)
196778,"This geological process saw increased activity during the mid-Cretaceous in its namesake ""pulse."" The Vine-Matthews-Morley hypothesis predicted that, because of reversals in the Earth's magnetic field, this process should result in alternating bands of magnetically polarized rock.",A,Seafloor spreading,Cherenkov radiation,Meissner effect,Thermoelectric effect#Seebeck effect
207564,This entity is equal to the curl of the vector potential.,D,Moment of inertia,Angular momentum,Electric field,Magnetic field
204696,A mathematical ring consists of a set and this many operations.,B,Georg Wilhelm Friedrich Hegel,2 (number),Hamiltonian (quantum mechanics),Group (mathematics)
196848,"The Hoecht stain binds to the minor groove of this molecule, forming G-quadruplexes.",A,DNA,Adenosine triphosphate,Cyclic adenosine monophosphate,Wolff-Kishner reduction
196854,"This substance's ability to form metal ligands is exemplified in the coordination complex it forms with copper and water, Schweitzer's reagent.",B,Wolff-Kishner reduction,Ammonia,Sulfuric acid,Ketone
196860,"In minerals, the Gladstone-Dale relation can be used to compute this quantity, while the Lorentz-Lorenz equation is used to relate it to polarizability.",A,Refractive index,Electronegativity,Pauli exclusion principle,Lattice energy
196863,Most X-ray binaries are thought to consist of one of these objects and an ordinary star.,A,Black hole,Group (mathematics),Hamiltonian (quantum mechanics),Don Giovanni
196868,Adiabatic cooling causes the Santa Ana or Diablo varieties of this phenomenon.,A,Dune,Transcription (genetics),Group (mathematics),Hamiltonian (quantum mechanics)
202113,"According to Turan's Theorem, one of these entities is necessarily formed if four times the number of edges in a graph is greater than the number of vertices squared.",D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Triangle
196880,"This phylum's members have a pair of pouches that split from the archenteron, with each pouch constricting into three portions.",B,Xylem,Echinoderm,Sponge,Mitochondrion
196892,Members of this group of elements act as electrophiles when interacting with a Lewis base in its namesake bonding.,D,Epoxide,Thiol,Alkyne,Halogen
196899,"This structure was originally thought to be an illusion caused by the black reaction, but its existence was proven by an electron microscope.",D,Hamiltonian (quantum mechanics),Georg Wilhelm Friedrich Hegel,Group (mathematics),Golgi apparatus
196903,"Doppler redshift associated with this force was measured by the Pound-Rebka experiment, and waves associated with this force are being searched for by the LIGO project.",B,Georg Wilhelm Friedrich Hegel,Gravity,Hamiltonian (quantum mechanics),Group (mathematics)
196909,"Although not the lungs, antibodies target a structure in these organs in Goodpasture's syndrome.",A,Kidney,Hamiltonian (quantum mechanics),Transcription (genetics),Group (mathematics)
196913,"When bonded to Iodine, this element can react with alkenes to form cyclopropanes in the Simmons-Smith reaction.",C,Hamiltonian (quantum mechanics),Group (mathematics),Zinc,Georg Wilhelm Friedrich Hegel
196920,"This quantity increases by a factor of one plus the amplitude gain in the Miller effect, and the reciprocal of this quantity is elastance.",C,Spin (physics),Electronegativity,Capacitance,Thermoelectric effect#Seebeck effect
196925,"For a prime number n, evaluating this function at the quantity n minus one will equal -1, modulo n, according to Wilson's theorem.",B,Hamiltonian (quantum mechanics),Factorial,Group (mathematics),Georg Wilhelm Friedrich Hegel
196926,Two of these entities in close proximity may experience the Fujiwara effect.,A,Tropical cyclone,Hamiltonian (quantum mechanics),Group (mathematics),Don Giovanni
196931,The presence of hepatosplenomegaly can help distinguish the closely-related Sandhoff disease from this disease.,D,Hamiltonian (quantum mechanics),Don Giovanni,Group (mathematics),Tay-Sachs disease
196938,"One model describing this phenomenon is named for Tomlinson, which results in a slip-stick variety if a namesake parameter is greater than 1.",D,Angular momentum,Black hole,Torque,Friction
196941,"Its antiparticle was first discovered by Chamberlain and Segre, and the Tevatron is used to accelerate these particles to relativistic speeds.",B,Group (mathematics),Proton,Hamiltonian (quantum mechanics),Don Giovanni
